LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-362330,Antechamber Site,42Ka6163,USA,Utah,1450,30,Zea mays,Zea Mays,NA,-8.7,AMS,p3k14c
Beta-368068,Paint Pot Village,42Ka6164,USA,Utah,1550,30,Zea mays,Zea Mays,NA,-10.7,AMS,p3k14c
Beta-362332,Paint Pot Village,42Ka6164,USA,Utah,1180,30,Zea mays,Zea Mays,NA,-10.6,AMS,p3k14c
Beta-368067,Paint Pot Village,42Ka6164,USA,Utah,1510,30,Zea mays,Zea Mays,NA,-10.6,AMS,p3k14c
Beta-362331,Paint Pot Village,42Ka6164,USA,Utah,1180,30,Zea mays,Zea Mays,NA,-10.5,AMS,p3k14c
Beta-362333,Paint Pot Village,42Ka6164,USA,Utah,1220,30,Zea mays,Zea Mays,NA,-10.3,AMS,p3k14c
Beta-368069,Paint Pot Village,42Ka6164,USA,Utah,1650,30,Zea mays,Zea Mays,NA,-10,AMS,p3k14c
Beta-368070,Paint Pot Village,42Ka6164,USA,Utah,1660,30,Zea mays,Zea Mays,NA,-8,AMS,p3k14c
Beta-362334,Paint Pot Village,42Ka6164,USA,Utah,1180,30,Zea mays,Zea Mays,NA,-10.7,AMS,p3k14c
UGAMS-12219,NA,42Em4261,USA,Utah,1050,20,Zea mays,Zea Mays,NA,-9.5,AMS,p3k14c
Beta-134613,NA,42Ga4538,USA,Utah,1490,70,Zea mays,Zea Mays,NA,-9.7,NA,p3k14c
Beta-390953,Road Grade Site,42Ka6897,USA,Utah,900,30,Zea mays,Zea Mays,NA,-11.6,AMS,p3k14c
Beta-134612,Bear Tracks,42Ga4536,USA,Utah,1760,80,Zea mays,Zea Mays,NA,-10,NA,p3k14c
Beta-78335,Red Feather,42Ga0276,USA,Utah,1360,80,Zea mays,Zea Mays,NA,-21.3,NA,p3k14c
Beta-94775,NA,42Ws3105,USA,Utah,1810,80,Zea mays,Maize,NA,-13.4,AMS,p3k14c
Beta-34939,Triangle Cave,42Ga0288,USA,Utah,1270,70,Zea mays,Zea Mays,NA,-11.2,NA,p3k14c
Beta-34941,Triangle Cave,42Ga0288,USA,Utah,1770,90,Zea mays,Zea Mays,NA,-11.2,NA,p3k14c
Beta-34940,Triangle Cave,42Ga0288,USA,Utah,1480,50,Zea mays,Zea Mays,NA,-11,NA,p3k14c
AA-5224,Triangle Cave,42Ga0288,USA,Utah,1600,50,Zea mays,Zea Mays,NA,-10.3,NA,p3k14c
Beta-34938,Triangle Cave,42Ga0288,USA,Utah,1570,80,Zea mays,Zea Mays,NA,-10.1,NA,p3k14c
AA-6804,Sniper Site,AZ V:3:4,USA,Arizona,1840,60,Zea mays,maize cupule,NA,NA,AMS,Geib and Huckell 1994
AA-6803,Sniper Site,AZ V:3:4,USA,Arizona,1870,75,Zea mays,maize cupule,NA,NA,AMS,Geib and Huckell 1994
Beta-377204,Nephi Mounds,42Jb0002,USA,Utah,960,30,Zea mays,Maize,NA,-11.5,NA,p3k14c
Beta-377202,Nephi Mounds,42Jb0002,USA,Utah,980,30,Zea mays,Maize,NA,-11.3,NA,p3k14c
Beta-377203,Nephi Mounds,42Jb0002,USA,Utah,1010,30,Zea mays,Maize,NA,-10.8,NA,p3k14c
Beta-283900,Eagle Rock Shelter,5DT813,USA,Colorado,1940,40,Zea mays,SEEDS,NA,-11.2,NA,p3k14c
Beta-252926,NA,42Ka6293,USA,Utah,1170,40,Zea mays,Zea Mays,NA,-11.2,AMS,p3k14c
Beta-252927,NA,42Ka6293,USA,Utah,1340,40,Zea mays,Zea Mays,NA,-9.8,AMS,p3k14c
UCIAMS-198899,Burnt House Village,42Un0279,USA,Utah,1125,15,Zea mays,Zea Mays,NA,NA,AMS,CARD
Beta-252613,NA,42Cb0109,USA,Utah,990,40,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-80770,NA,42Cb0109,USA,Utah,1190,80,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-101263,NA,42Ga4063,USA,Utah,1350,70,Zea mays,Zea Mays,NA,-11.4,NA,p3k14c
Beta-180953,Omar's Site,42Ws1247,USA,Utah,1170,60,Zea mays,Zea Mays,NA,-10,NA,p3k14c
Beta-124187,NA,42Wn2278,USA,Utah,1270,60,Zea mays,Zea Mays,NA,-10.6,NA,p3k14c
Beta-74066,Old Man Cave,42Sa21153,USA,Utah,1810,60,Zea mays,Zea Mays,NA,-10.5,NA,p3k14c
Beta-134611,NA,42Ga4521,USA,Utah,1610,120,Zea mays,Zea Mays,NA,-10.1,NA,p3k14c
Beta-134610,NA,42Ga4518,USA,Utah,950,80,Zea mays,Zea Mays,NA,-8.7,NA,p3k14c
LUNK-1924,NA,42Dc0612,USA,Utah,1160,60,Zea mays,Zea Mays,NA,NA,NA,CARD
UGAMS-3948,Gold Ghost,42Em2865,USA,Utah,1133,23,Zea mays,Zea Mays,NA,-11.43,AMS,p3k14c
Beta-244159,Uintah River Mound #1,42Un2902,USA,Utah,1140,40,Zea mays,Maize,NA,-11.1,NA,p3k14c
UGAMS-3952,NA,42Em3424,USA,Utah,958,23,Zea mays,Zea Mays,NA,-10.63,AMS,p3k14c
Beta-168514,NA,42Un2889,USA,Utah,1670,100,Zea mays,Zea Mays,NA,-11.7,NA,p3k14c
Beta-168511,NA,42Un2889,USA,Utah,1340,40,Zea mays,Zea Mays,NA,-11.3,NA,p3k14c
Beta-168512,NA,42Un2889,USA,Utah,1520,80,Zea mays,Zea Mays,NA,-10.8,NA,p3k14c
UCIAMS-198907,Wholeplace Village,42Un0081,USA,Utah,1155,15,Zea mays,Zea Mays,NA,NA,AMS,CARD
Beta-361246,Turner-Look,42Gr0314,USA,Utah,940,30,Zea mays,Maize,NA,-10.7,NA,p3k14c
Beta-361247,Turner-Look,42Gr0314,USA,Utah,950,30,Zea mays,Maize,NA,-11.4,NA,p3k14c
Beta-361245,Turner-Look,42Gr0314,USA,Utah,940,30,Zea mays,Maize,NA,-10.8,NA,p3k14c
Beta-361248,Turner-Look,42Gr0314,USA,Utah,960,30,Zea mays,Maize,NA,-10,NA,p3k14c
Beta-330516,NA,42Cb2910,USA,Utah,1210,30,Zea mays,Zea Mays,NA,-10.5,NA,p3k14c
Beta-330517,NA,42Cb2910,USA,Utah,1170,30,Zea mays,Zea Mays,NA,-10.4,NA,p3k14c
Beta-289228,NA,42Cb0956,USA,Utah,920,40,Zea mays,Zea Mays,NA,-9.4,NA,p3k14c
Beta-177171,Escalante Canyon Alcove,42Ga1434,USA,Utah,1070,60,Zea mays,Zea Mays,NA,-9.4,NA,p3k14c
Beta-104596,Cave DuPont,,USA,Utah,1740,40,Zea mays,kernel,NA,-9.7,NA,p3k14c
Beta-104597,Cave DuPont,,USA,Utah,1770,40,Zea mays,kernel,NA,-9.4,NA,p3k14c
Beta-124182,NA,42Wn0181,USA,Utah,1700,50,Zea mays,Zea Mays,NA,-11.3,AMS,p3k14c
Beta-11703,Backyard Village,42Sv0002,USA,Utah,920,60,Zea mays,Zea mays,NA,NA,NA,CARD
Beta-377214,Steinaker Gap,42Un2004,USA,Utah,1600,30,Zea mays,Maize,NA,-11,NA,CARD
Beta-377215,Steinaker Gap,42Un2004,USA,Utah,1650,30,Zea mays,Maize,NA,-10.7,NA,CARD
Beta-377216,Steinaker Gap,42Un2004,USA,Utah,1570,30,Zea mays,Maize,NA,-10.4,NA,CARD
Beta-150670,NA,42Ka5609,USA,Utah,1110,80,Zea mays,Zea Mays,NA,-10.6,NA,p3k14c
Beta-132378,Deer Creek Pictographs,42Ka1499,USA,Utah,1310,40,Zea mays,Zea Mays,NA,-9,NA,p3k14c
Beta-282092,Backhoe Village,42Sv0662,USA,Utah,960,40,Zea mays,Zea Mays,NA,-22.6,AMS,p3k14c
Beta-140383,Backhoe Village,42Sv0662,USA,Utah,820,50,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-140953,NA,42Ka3684,USA,Utah,1690,80,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-161597,NA,42Wn0006,USA,Utah,850,80,Zea mays,Zea Mays,NA,-8.8,NA,p3k14c
D-AMS-10871,Rasmussen Cave,42Cb0016,USA,Utah,1083,24,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
LUNK-1911,East Fork Village,42Md0974,USA,Utah,1000,55,Zea mays,Zea Mays,NA,NA,AMS,CARD
Beta-377217,NA,42Un2093,USA,Utah,1140,30,Zea mays,Zea Mays,NA,-10.2,NA,CARD
UGAMS-44801,NA,CKL-1-190810-8-1,USA,Utah,960,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-82600,Hidden Island,42Un1671,USA,Utah,1400,80,Zea mays,Zea Mays,NA,NA,NA,CARD
Beta-361242,Caldwell Village,42Un0095,USA,Utah,940,30,Zea mays,Maize,NA,-10.7,NA,p3k14c
Beta-361244,Caldwell Village,42Un0095,USA,Utah,890,30,Zea mays,Maize,NA,-10.4,NA,p3k14c
Beta-361243,Caldwell Village,42Un0095,USA,Utah,870,30,Zea mays,Maize,NA,-9.7,NA,p3k14c
Beta-346332,NA,42Ka7165,USA,Utah,960,30,Zea mays,Zea Mays,NA,-9.8,NA,p3k14c
OS-121086,Elsinore Burial,42Sv2111,USA,Utah,1790,20,Zea mays,Maize,NA,-11.5,NA,p3k14c
Beta-373441,Elsinore Burial,42Sv2111,USA,Utah,1710,30,Zea mays,Maize,NA,-10.9,NA,p3k14c
Beta-373440,Elsinore Burial,42Sv2111,USA,Utah,1790,30,Zea mays,Maize,NA,-10.5,NA,p3k14c
Beta-357026,Elsinore Burial,42Sv2111,USA,Utah,1180,30,Zea mays,Maize,NA,-9.9,NA,p3k14c
Beta-13414,Elsinore Burial,42Sv2111,USA,Utah,2140,100,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-48829,NA,42Dc0655,USA,Utah,830,70,Zea mays,Zea Mays,NA,-12.1,NA,p3k14c
Beta-194328,Hog Canyon Alcove,42Ka4309,USA,Utah,1340,40,Zea mays,Zea Mays,NA,-12.3,AMS,p3k14c
Beta-32290,Lisbon Valley Site,42Sa09999,USA,Utah,2110,70,Zea mays,Zea Mays,NA,NA,NA,p3k14c
UGAMS-44807,NA,PY0810-1-1,USA,Utah,990,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-117940,Arroyo Site,42Ka3976,USA,Utah,800,30,Zea mays,Zea Mays,NA,-10,AMS,p3k14c
Beta-117941,Arroyo Site,42Ka3976,USA,Utah,850,30,Zea mays,Zea Mays,NA,-9.2,AMS,p3k14c
Beta-202621,NA,42Ka6043,USA,Utah,1960,50,Zea mays,Maize,NA,-9.1,NA,p3k14c
Beta-36605,Juniper Ledge Shelter,42Un1724,USA,Utah,1650,80,Zea mays,Zea Mays,NA,NA,NA,p3k14c
SI-3012R,Cowboy Cave,42Wn0420,USA,Utah,1670,70,Zea mays,Zea Mays,NA,NA,NA,p3k14c
UGa-1548,Cowboy Cave,42Wn0420,USA,Utah,1775,70,Zea mays,Zea Mays,NA,NA,NA,p3k14c
SI-3172,Cowboy Cave,42Wn0420,USA,Utah,1855,70,Zea mays,Zea Mays,NA,NA,NA,p3k14c
SI-2422,Cowboy Cave,42Wn0420,USA,Utah,1985,70,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-161582,NA,42Wn0007,USA,Utah,1100,40,Zea mays,Zea Mays,NA,-10.4,AMS,p3k14c
Beta-140954,NA,42Ga4655,USA,Utah,1580,40,Zea mays,Zea Mays,NA,-9.6,NA,p3k14c
Beta-165413,Rich's Shelter,42Ga0882,USA,Utah,950,60,Zea mays,Zea Mays,NA,-10.1,NA,p3k14c
Beta-165414,Rich's Shelter,42Ga0882,USA,Utah,1080,80,Zea mays,Zea Mays,NA,-9.9,NA,p3k14c
Beta-107649,NA,42Ka1502,USA,Utah,950,60,Zea mays,Zea Mays,NA,-10.7,NA,p3k14c
UGAMS-44805,NA,42Cb0876,USA,Utah,1300,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-331684,Kays Cabin,42Ut0813,USA,Utah,1130,30,Zea mays,Maize,NA,-11.8,NA,p3k14c
Beta-331685,Kays Cabin,42Ut0813,USA,Utah,920,30,Zea mays,Maize,NA,-9.9,NA,p3k14c
Beta-331687,Kays Cabin,42Ut0813,USA,Utah,930,30,Zea mays,Maize,NA,-9.6,NA,p3k14c
Beta-331686,Kays Cabin,42Ut0813,USA,Utah,820,30,Zea mays,Maize,NA,-9.1,NA,p3k14c
Beta-55077,Pottery Knoll,42Ka1568,USA,Utah,770,50,Zea mays,Zea Mays,NA,-9.6,NA,p3k14c
Beta-55076,Pottery Knoll,42Ka1568,USA,Utah,810,50,Zea mays,Zea Mays,NA,-10,NA,p3k14c
Beta-95276,Boomerang Shelter,,USA,Utah,1810,60,Zea mays,cob,NA,-10.8,NA,p3k14c
Beta-95273,Boomerang Shelter,,USA,Utah,1610,60,Zea mays,cob,NA,-10.4,NA,p3k14c
Beta-95274,Boomerang Shelter,,USA,Utah,1750,60,Zea mays,cob,NA,-9.8,NA,p3k14c
Beta-95275,Boomerang Shelter,,USA,Utah,2090,70,Zea mays,cob,NA,-9.6,NA,p3k14c
Beta-97796,Boomerang Shelter,,USA,Utah,1820,70,Zea mays,cob,NA,-9.4,NA,p3k14c
Beta-131667,Park Wash Site,42Ka4280,USA,Utah,1240,40,Zea mays,Zea Mays,NA,-11.2,NA,p3k14c
Beta-133285,Hayes Site,42Da0668,USA,Utah,930,60,Zea mays,Zea Mays,NA,NA,NA,CARD
CAMS-74938,Deer Creek Shelter,42Ga3128,USA,Utah,860,40,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
CAMS-74939,Deer Creek Shelter,42Ga3128,USA,Utah,890,30,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-121577,NA,42Ka4535,USA,Utah,1390,60,Zea mays,Zea Mays,NA,-10.5,NA,p3k14c
Beta-150669,NA,42Ka5628,USA,Utah,960,70,Zea mays,Zea Mays,NA,-10.8,NA,p3k14c
Beta-503044,Maces Cave,42Ka5062,USA,Utah,1270,30,Zea mays,Zea Mays,NA,-9.3,NA,p3k14c
Beta-350478,NA,42Dc3145,USA,Utah,1420,30,Zea mays,Zea Mays,NA,-9.5,NA,p3k14c
Beta-140952,NA,42Ka3575,USA,Utah,1790,70,Zea mays,Zea Mays,NA,-9,NA,p3k14c
Beta-134477,NA,42Ka2580,USA,Utah,920,60,Zea mays,Zea Mays,NA,-9.8,NA,p3k14c
Beta-109803,Nipple Alcove,42Ka1811,USA,Utah,1060,50,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-141726,Wood Canyon,LA 99631,USA,New Mexico,2000,60,Zea mays,maize cupule,NA,-11,AMS,p3k14c
GX-1550,Evans Site,42In0040,USA,Utah,855,90,Zea mays,Zea Mays,NA,NA,NA,CARD
PRI-07-58-509-3236,Summit Site,42In0040,USA,Utah,945,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-07-58-283-3101,Summit Site,42In0040,USA,Utah,965,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-07-58-395-4712,Summit Site,42In0040,USA,Utah,970,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-07-58-365-2814,Summit Site,42In0040,USA,Utah,990,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-124190,Morss Cave 27,42Ga0448,USA,Utah,1470,60,Zea mays,Zea Mays,NA,-11.4,NA,p3k14c
Beta-128986,Indian Canyon Pictographs,42Ka1576,USA,Utah,1570,70,Zea mays,Zea Mays,NA,-9.3,AMS,p3k14c
Beta-350465,NA,42Dc3053,USA,Utah,1170,30,Zea mays,Zea Mays,NA,-10.9,NA,p3k14c
Beta-350463,NA,42Dc3053,USA,Utah,1400,30,Zea mays,Zea Mays,NA,-10.8,NA,p3k14c
Beta-350462,NA,42Dc3053,USA,Utah,1480,30,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-330520,NA,42Dc3053,USA,Utah,1520,30,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-330519,NA,42Dc3053,USA,Utah,900,30,Zea mays,Zea Mays,NA,-10.1,NA,p3k14c
Beta-168968,Backyard Alcove,42Ga5171,USA,Utah,1000,40,Zea mays,Zea Mays,NA,-9.2,AMS,p3k14c
Beta-124184,NA,42Wn1926,USA,Utah,880,40,Zea mays,Zea Mays,NA,-9.9,AMS,p3k14c
Beta-95166,"Trail Canyon, Cave 2",,USA,Utah,1990,90,Zea mays,kernel,NA,-11.6,NA,p3k14c
Beta-95172,Tseahatso,,USA,Utah,1230,80,Zea mays,kernel,NA,-9.9,NA,p3k14c
Beta-222192,Sandy Rise,NM-H-51-55,USA,New Mexico,2310,40,Zea mays,Maize,NA,-13.7,AMS,p3k14c
Beta-222194,Sandy Rise,NM-H-51-55,USA,New Mexico,2280,40,Zea mays,Maize cob fragment,NA,-10.9,AMS,p3k14c
Beta-222196,Sandy Rise,NM-H-51-55,USA,New Mexico,2220,40,Zea mays,Maize,NA,-10.7,AMS,p3k14c
Beta-284780,Paragonah,42In0043,USA,Utah,940,40,Zea mays,Maize,NA,-10.1,NA,p3k14c
Beta-284781,Paragonah,42In0043,USA,Utah,940,40,Zea mays,Maize,NA,-9.4,NA,p3k14c
Beta-284779,Bradshaw Mounds,42Be0000,USA,Utah,960,40,Zea mays,Maize,NA,-9.6,NA,p3k14c
UGAMS-3951,Perfect Granary,42Em3048,USA,Utah,932,24,Zea mays,Zea Mays,NA,-11.42,AMS,p3k14c
Beta-161895,NA,42Ka1819,USA,Utah,980,60,Zea mays,Zea Mays,NA,-8.4,NA,p3k14c
Beta-161896,Trail Canyon Alcove,42Ka1819,USA,Utah,1390,70,Zea mays,Zea Mays,NA,-9.8,NA,p3k14c
Beta-379129,Spillway Site,42Ga6264,USA,Utah,1070,30,Zea mays,Zea Mays,NA,-11.4,AMS,p3k14c
Beta-194032,Arrowhead Hill,42Ga5169,USA,Utah,1100,40,Zea mays,Zea Mays,NA,-10.9,AMS,p3k14c
Beta-255666,Arrowhead Hill,42Ga5169,USA,Utah,1290,40,Zea mays,Zea Mays,NA,-10.8,AMS,p3k14c
Beta-189340,Arrowhead Hill,42Ga5169,USA,Utah,1160,60,Zea mays,Zea Mays,NA,-10.6,AMS,p3k14c
Beta-194031,Arrowhead Hill,42Ga5169,USA,Utah,1420,40,Zea mays,Zea Mays,NA,-10.4,AMS,p3k14c
Beta-202188,Granary Row,42Em3117,USA,Utah,980,40,Zea mays,Zea Mays,NA,-9.5,AMS,p3k14c
PRI-07-58-433-7825,Parowan Site,42In0100,USA,Utah,985,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-07-58-433-9646,Parowan Site,42In0100,USA,Utah,990,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-07-58-433-9688,Parowan Site,42In0100,USA,Utah,1005,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
PRI-07-58-433-8266,Parowan Site,42In0100,USA,Utah,960,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-161600,NA,42Wn2381,USA,Utah,960,60,Zea mays,Zea Mays,NA,-8.5,AMS,p3k14c
Beta-350484,NA,42Dc3367,USA,Utah,1400,30,Zea mays,Zea Mays,NA,-11.3,NA,p3k14c
Beta-350483,NA,42Dc3367,USA,Utah,1460,30,Zea mays,Zea Mays,NA,-12.8,NA,p3k14c
Beta-107656,Sleeping Rainbow Granary,42Wn2130,USA,Utah,1360,70,Zea mays,Zea Mays,NA,-9.3,NA,p3k14c
Beta-210474,Barnson Site,42Ga5168,USA,Utah,1240,40,Zea mays,Zea Mays,NA,-11,AMS,p3k14c
Beta-255665,Barnson Site,42Ga5168,USA,Utah,1200,40,Zea mays,Zea Mays,NA,-10.8,AMS,p3k14c
RL-175,Clyde's Cavern,42Em0177,USA,Utah,1490,100,Zea mays,Zea Mays,NA,NA,NA,p3k14c
Beta-161592,NA,42Wn2234,USA,Utah,1770,50,Zea mays,Zea Mays,NA,-9.2,AMS,p3k14c
Beta-329232,Montoya Site,LA 88891,USA,New Mexico,3610,30,Zea mays,maize cob,NA,NA,AMS,CARD
Beta-330166,Montoya Site,LA 88891,USA,New Mexico,3640,30,Zea mays,maize cob,NA,NA,AMS,CARD
Beta-128678,NA,42Wn2280,USA,Utah,890,60,Zea mays,Zea Mays,NA,-8.8,NA,p3k14c
MAMS-23686,Turkey Pen Ruin,42Sa03714,USA,Utah,1851,22,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23674,Turkey Pen Ruin,42Sa03714,USA,Utah,1852,19,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23682,Turkey Pen Ruin,42Sa03714,USA,Utah,1858,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23675,Turkey Pen Ruin,42Sa03714,USA,Utah,1863,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23676,Turkey Pen Ruin,42Sa03714,USA,Utah,1865,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23679,Turkey Pen Ruin,42Sa03714,USA,Utah,1869,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23673,Turkey Pen Ruin,42Sa03714,USA,Utah,1876,19,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23685,Turkey Pen Ruin,42Sa03714,USA,Utah,1881,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23684,Turkey Pen Ruin,42Sa03714,USA,Utah,1888,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23678,Turkey Pen Ruin,42Sa03714,USA,Utah,1900,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23681,Turkey Pen Ruin,42Sa03714,USA,Utah,1903,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23683,Turkey Pen Ruin,42Sa03714,USA,Utah,1907,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23677,Turkey Pen Ruin,42Sa03714,USA,Utah,1910,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
MAMS-23680,Turkey Pen Ruin,42Sa03714,USA,Utah,2026,20,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-128677,NA,42Ga4445,USA,Utah,940,30,Zea mays,Zea Mays,NA,-10,NA,p3k14c
AA-60695,Franktown Cave,5DA272,USA,Colorado,293,38,Zea mays,SEEDS,NA,-17.9,AMS,p3k14c
AA-60691,Franktown Cave,5DA272,USA,Colorado,839,33,Zea mays,SEEDS,NA,-11.7,AMS,p3k14c
AA-60693,Franktown Cave,5DA272,USA,Colorado,787,34,Zea mays,SEEDS,NA,-11.3,AMS,p3k14c
AA-60692,Franktown Cave,5DA272,USA,Colorado,892,36,Zea mays,SEEDS,NA,-11.3,AMS,p3k14c
AA-60696,Franktown Cave,5DA272,USA,Colorado,804,36,Zea mays,SEEDS,NA,-10.5,AMS,p3k14c
AA-56832,Franktown Cave,5DA272,USA,Colorado,170,38,Zea mays,SEEDS,NA,-9.8,AMS,p3k14c
AA-60694,Franktown Cave,5DA272,USA,Colorado,380,34,Zea mays,SEEDS,NA,-9.7,AMS,p3k14c
Beta-197358,North Creek Shelter,42Ga5863,USA,Utah,940,40,Zea mays,Zea Mays,NA,-15,AMS,p3k14c
Beta-221411,North Creek Shelter,42Ga5863,USA,Utah,1050,40,Zea mays,Zea Mays,NA,-11.6,AMS,p3k14c
Beta-261678,North Creek Shelter,42Ga5863,USA,Utah,1030,40,Zea mays,Zea Mays,NA,-10.5,AMS,p3k14c
Beta-261676,North Creek Shelter,42Ga5863,USA,Utah,1130,40,Zea mays,Zea Mays,NA,-10.3,AMS,p3k14c
Beta-261677,North Creek Shelter,42Ga5863,USA,Utah,1130,40,Zea mays,Zea Mays,NA,-10.2,AMS,p3k14c
Beta-143631,Sonders Basket,42Da0722,USA,Utah,1210,70,Zea mays,Zea Mays,NA,NA,NA,CARD
Beta-141721,Forest Home,LA 78089,USA,New Mexico,2270,40,Zea mays,maize cupule,NA,-12,AMS,p3k14c
Beta-141725,Forest Home,LA 78089,USA,New Mexico,2240,50,Zea mays,maize cupule,NA,-10.8,AMS,p3k14c
Beta-141724,Forest Home,LA 78089,USA,New Mexico,2240,40,Zea mays,maize cupule,NA,-10.7,AMS,p3k14c
Beta-161586,NA,42Wn1901,USA,Utah,1160,50,Zea mays,Zea Mays,NA,-9.2,AMS,p3k14c
Beta-125910,Neaf Spring Alcove,42Ka0110,USA,Utah,1220,70,Zea mays,Zea Mays,NA,-8.5,NA,p3k14c
Beta-150671,Hell Dive Alcove,42Ka1695,USA,Utah,1290,60,Zea mays,Zea Mays,NA,-10.4,NA,p3k14c
Beta-408368,NA,5MT10736,USA,Colorado,1320,30,Zea mays cupule charred,SEEDS,NA,-11.8,AMS,p3k14c
Beta-408404,NA,5MT10736,USA,Colorado,1470,30,Zea mays cupule charred,SEEDS,NA,-11.4,AMS,p3k14c
Beta-365061,TJ Smith Site,5MT10736,USA,Colorado,1200,30,Zea mays,SEEDS,NA,-10.5,AMS,p3k14c
Beta-190227,NA,42Ga4431,USA,Utah,960,40,Zea mays,Zea Mays,NA,-10.9,AMS,p3k14c
Beta-226298,Finch Draw Shelter,42Da1269,USA,Utah,1110,40,Zea mays,Zea Mays,NA,-11.4,NA,CARD
Beta-125909,NA,42Ga4507,USA,Utah,1070,70,Zea mays,Zea Mays,NA,-8.4,NA,p3k14c
Beta-350473,NA,42Cb3105,USA,Utah,910,30,Zea mays,Zea Mays,NA,-9.9,NA,p3k14c
Beta-94768,Ko' Lanhi,AZ J:14:35,USA,Arizona,2080,60,Zea mays,Maize,NA,-12.9,AMS,p3k14c
Beta-54287,NA,42Cb0667,USA,Utah,1710,80,Zea mays,Zea Mays,NA,NA,NA,CARD
Beta-124185,Basket Alcove,42Wn2258,USA,Utah,1500,60,Zea mays,Zea Mays,NA,-10.3,NA,p3k14c
Beta-408360,Dillard Site,5MT10647,USA,Colorado,1260,30,Zea mays charred,SEEDS,NA,-11.8,AMS,p3k14c
AA-100806,Dillard Site,5MT10647,USA,Colorado,1514,51,Zea mays,SEEDS,NA,-11.7,AMS,p3k14c
AA-100809,Dillard Site,5MT10647,USA,Colorado,1436,31,Zea mays,SEEDS,NA,-11.5,AMS,p3k14c
Beta-408357,Dillard Site,5MT10647,USA,Colorado,1460,30,Zea mays cupule charred,SEEDS,NA,-11.5,AMS,p3k14c
Beta-408359,Dillard Site,5MT10647,USA,Colorado,1440,30,Zea mays kernel charred,SEEDS,NA,-11.4,AMS,p3k14c
Beta-416909,Dillard Site,5MT10647,USA,Colorado,1450,30,Zea mays cupule charred,SEEDS,NA,-11.3,AMS,p3k14c
Beta-408367,Dillard Site,5MT10647,USA,Colorado,1390,30,Zea mays cupule charred,SEEDS,NA,-11.2,AMS,p3k14c
Beta-408364,Dillard Site,5MT10647,USA,Colorado,1450,30,Zea mays cupule charred,SEEDS,NA,-11.2,AMS,p3k14c
Beta-471919,Dillard Site,5MT10647,USA,Colorado,1410,30,Zea mays,SEEDS,NA,-11.1,AMS,p3k14c
AA-100807,Dillard Site,5MT10647,USA,Colorado,1451,38,Zea mays,SEEDS,NA,-11.1,AMS,p3k14c
Beta-408358,Dillard Site,5MT10647,USA,Colorado,1470,30,Zea mays cupule charred,SEEDS,NA,-11.1,AMS,p3k14c
AA-100808,Dillard Site,5MT10647,USA,Colorado,1422,32,Zea mays,SEEDS,NA,-11,AMS,p3k14c
Beta-365060,Dillard Site,5MT10647,USA,Colorado,1260,30,Zea mays,SEEDS,NA,-10.8,AMS,p3k14c
