LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-353661,Ant Bite,42Ws1147,USA,Utah,960,30,Zea mays,Zea Mays,NA,-9.1,AMS,p3k14c
Beta-311754,NA,42Ws3887,USA,Utah,1290,30,Zea mays,Zea Mays,NA,-11.1,AMS,p3k14c
Beta-311749,NA,42Ws3887,USA,Utah,1200,30,Zea mays,Zea Mays,NA,-11,AMS,p3k14c
Beta-311747,NA,42Ws3887,USA,Utah,1280,30,Zea mays,Zea Mays,NA,-10.9,AMS,p3k14c
Beta-311757,NA,42Ws3887,USA,Utah,1290,30,Zea mays,Zea Mays,NA,-10.9,AMS,p3k14c
Beta-311748,NA,42Ws3887,USA,Utah,1230,30,Zea mays,Zea Mays,NA,-10.8,AMS,p3k14c
Beta-311752,NA,42Ws3887,USA,Utah,1290,30,Zea mays,Zea Mays,NA,-10.7,AMS,p3k14c
Beta-311756,NA,42Ws3887,USA,Utah,1300,30,Zea mays,Zea Mays,NA,-10.4,AMS,p3k14c
Beta-311751,NA,42Ws3887,USA,Utah,1270,30,Zea mays,Zea Mays,NA,-10.2,AMS,p3k14c
Beta-311758,NA,42Ws3887,USA,Utah,1300,30,Zea mays,Zea Mays,NA,-10,AMS,p3k14c
Beta-311755,NA,42Ws3887,USA,Utah,1270,30,Zea mays,Zea Mays,NA,-9.9,AMS,p3k14c
Beta-311753,NA,42Ws3887,USA,Utah,1260,30,Zea mays,Zea Mays,NA,-9.8,AMS,p3k14c
Beta-240766,Obsidian Cache Pithouse,42Ws4474,USA,Utah,1870,40,Zea mays,Zea Mays,NA,-10.7,AMS,p3k14c
Beta-244163,NA,42Ws1897,USA,Utah,300,40,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
Beta-239182,NA,42Ws1345,USA,Utah,930,40,Zea mays,Zea Mays,NA,-10.8,AMS,p3k14c
Beta-239183,NA,42Ws1345,USA,Utah,880,40,Zea mays,Zea Mays,NA,-10.4,NA,p3k14c
Beta-251829,NA,42Ws1890,USA,Utah,900,40,Zea mays,Zea Mays,NA,-10.5,AMS,p3k14c
Beta-210735,NA,42Ws2188,USA,Utah,130,40,Zea mays,Zea Mays,NA,NA,AMS,p3k14c
