"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"Beta-156067/CAMS","Kin Kahuna","AZ J:3-8","USA","Arizona",2090,40,2053,-104,"Zea mays","Maize",NA,-11,"AMS","2104 to 1998",NA,NA,NA,NA,NA,NA,"2289 to 2274","2148 to 1973","1971 to 1968","1966 to 1943",NA,NA,"p3k14c"
"Beta-156067/ETH","Kin Kahuna","AZ J:3-8","USA","Arizona",2180,50,2193,-244,"Zea mays","Maize",NA,-12.8,"AMS","2306 to 2227","2208 to 2194","2182 to 2115",NA,NA,NA,NA,"2328 to 2047","2018 to 2007",NA,NA,NA,NA,"p3k14c"
"Beta-156067/VERA","Kin Kahuna","AZ J:3-8","USA","Arizona",2110,40,2075,-126,"Zea mays","Maize",NA,-10.1,"AMS","2121 to 2038","2030 to 2002",NA,NA,NA,NA,NA,"2297 to 2260","2154 to 1987","1962 to 1947",NA,NA,NA,"p3k14c"
"Beta-156068/CAMS","The Pits","J:14:23","USA","Arizona",2120,40,2086,-137,"Zea mays","Maize",NA,-11.4,"AMS","2144 to 2135","2125 to 2041","2026 to 2003",NA,NA,NA,NA,"2299 to 2241","2156 to 1990","1959 to 1950",NA,NA,NA,"p3k14c"
"Beta-156068/ETH","The Pits","J:14:23","USA","Arizona",2100,50,2066,-117,"Zea mays","Maize",NA,-12.2,"AMS","2141 to 2140","2124 to 1995",NA,NA,NA,NA,NA,"2299 to 2240","2174 to 2172","2156 to 1929",NA,NA,NA,"p3k14c"
"Beta-156068/VERA","The Pits","J:14:23","USA","Arizona",2100,40,2064,-115,"Zea mays","Maize",NA,-12.1,"AMS","2114 to 2036","2033 to 2002",NA,NA,NA,NA,NA,"2294 to 2267","2152 to 1983","1964 to 1944",NA,NA,NA,"p3k14c"
"Beta-158045","High Rolls Cave","LA 114109","USA","New Mexico",1820,50,1721,229,"Zea mays","Maize",NA,NA,"AMS","1818 to 1811","1791 to 1761","1749 to 1696","1664 to 1626",NA,NA,NA,"1865 to 1856","1833 to 1684","1679 to 1588",NA,NA,NA,"p3k14c"
"Beta-158094","Mountainview","AZ J:14:38","USA","Arizona",1830,40,1733,217,"Zea mays","Maize",NA,-11,"AMS","1819 to 1808","1793 to 1758","1750 to 1702","1653 to 1643",NA,NA,NA,"1829 to 1692","1670 to 1616",NA,NA,NA,NA,"p3k14c"
"Beta-159900","The Outpost","42Ga3891","USA","Utah",1030,40,938,1012,"Zea mays","Zea Mays",NA,-9.6,"AMS","1044 to 1041","973 to 911","842 to 837",NA,NA,NA,NA,"1054 to 1027","998 to 901","869 to 797",NA,NA,NA,"p3k14c"
"Beta-160185","Tularosa Cave","LAà","USA","New Mexico",950,50,848,1102,"Zea mays","cob","uncharred",NA,"AMS","916 to 897","889 to 794",NA,NA,NA,NA,NA,"954 to 948","930 to 768","765 to 738",NA,NA,NA,"p3k14c"
"Beta-160379","Clearwater","AZ BB:13:6","USA","Arizona",2470,40,2565,-616,"Zea mays","Maize","charred",-9.2,"AMS","2703 to 2630","2618 to 2557","2543 to 2488","2479 to 2467",NA,NA,NA,"2717 to 2407","2390 to 2367",NA,NA,NA,NA,"p3k14c"
"Beta-160381","Clearwater","AZ BB:13:6","USA","Arizona",3650,40,3971,-2022,"Zea mays","kernel","charred",-10.4,"AMS","4075 to 4041","3989 to 3902",NA,NA,NA,NA,NA,"4088 to 3868","3863 to 3862","3859 to 3849",NA,NA,NA,"p3k14c"
"Beta-161577",NA,"42Ga4032","USA","Utah",1200,80,1119,831,"Zea mays","Zea Mays",NA,-8.6,NA,"1258 to 1256","1246 to 1210","1177 to 1054","1026 to 999",NA,NA,NA,"1278 to 959",NA,NA,NA,NA,NA,"p3k14c"
"Beta-161580",NA,"42Ga4567","USA","Utah",770,50,699,1251,"Zea mays","Zea Mays",NA,-9.4,"AMS","725 to 672",NA,NA,NA,NA,NA,NA,"782 to 650","579 to 573",NA,NA,NA,NA,"p3k14c"
