"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"Beta-261677","North Creek Shelter","42Ga5863","USA","Utah",1130,40,1026,924,"Zea mays","Zea Mays",NA,-10.2,"AMS","1172 to 1172","1064 to 972","964 to 962",NA,NA,NA,NA,"1175 to 1162","1126 to 956","943 to 939",NA,NA,NA,"p3k14c"
"Beta-261678","North Creek Shelter","42Ga5863","USA","Utah",1030,40,938,1012,"Zea mays","Zea Mays",NA,-10.5,"AMS","1044 to 1041","973 to 911","842 to 837",NA,NA,NA,NA,"1054 to 1027","998 to 901","869 to 797",NA,NA,NA,"p3k14c"
"Beta-261679","Wolf Village","42Ut0273","USA","Utah",960,40,852,1098,"Zea mays","Maize",NA,-10.2,"AMS","918 to 900","870 to 797",NA,NA,NA,NA,NA,"954 to 947","930 to 775","755 to 751",NA,NA,NA,"p3k14c"
"Beta-261680","Wolf Village","42Ut0273","USA","Utah",1020,40,928,1022,"Zea mays","Maize",NA,-10.3,"AMS","959 to 905","864 to 857","845 to 831",NA,NA,NA,NA,"1052 to 1030","994 to 982","977 to 898","873 to 794",NA,NA,"p3k14c"
"Beta-261681","Wolf Village","42Ut0273","USA","Utah",1300,40,1226,724,"Zea mays","Maize",NA,-10.5,"AMS","1285 to 1245","1223 to 1221","1213 to 1177",NA,NA,NA,NA,"1297 to 1176","1159 to 1129",NA,NA,NA,NA,"p3k14c"
"Beta-26275","Three Fir Shelter",NA,"USA","Arizona",3610,170,3931,-1982,"Zea mays","cob","uncharred",NA,"RADIOMETRIC","4150 to 3692","3656 to 3651",NA,NA,NA,NA,NA,"4406 to 3550","3533 to 3508","3505 to 3493",NA,NA,NA,"CARD"
"Beta-275711","Fish Creek Cove","42Wn503","USA","Utah",970,40,856,1094,"Zea mays","Zea Mays",NA,-10.3,"AMS","922 to 901","868 to 816","813 to 798",NA,NA,NA,NA,"955 to 944","936 to 786",NA,NA,NA,NA,"p3k14c"
"Beta-275719","Lake Xaltocan",NA,"Mexico","State of Mexico",1240,40,1165,785,"Zea mays","cob","charred",NA,"AMS","1263 to 1251","1249 to 1209","1177 to 1175","1163 to 1121","1096 to 1077",NA,NA,"1276 to 1197","1193 to 1174","1170 to 1067",NA,NA,NA,"p3k14c"
"Beta-275721","Lake Xaltocan",NA,"Mexico","State of Mexico",1350,40,1276,674,"Zea mays","cob","charred",NA,"AMS","1303 to 1267","1206 to 1190","1184 to 1179",NA,NA,NA,NA,"1343 to 1326","1312 to 1243","1228 to 1177",NA,NA,NA,"p3k14c"
"Beta-282092","Backhoe Village","42Sv0662","USA","Utah",960,40,852,1098,"Zea mays","Zea Mays",NA,-22.6,"AMS","918 to 900","870 to 797",NA,NA,NA,NA,NA,"954 to 947","930 to 775","755 to 751",NA,NA,NA,"p3k14c"
"Beta-283900","Eagle Rock Shelter","5DT813","USA","Colorado",1940,40,1862,88,"Zea mays","SEEDS",NA,-11.2,NA,"1929 to 1822","1803 to 1798",NA,NA,NA,NA,NA,"1982 to 1965","1944 to 1743",NA,NA,NA,NA,"p3k14c"
"Beta-284779","Bradshaw Mounds","42Be0000","USA","Utah",960,40,852,1098,"Zea mays","Maize",NA,-9.6,"AMS","918 to 900","870 to 797",NA,NA,NA,NA,NA,"954 to 947","930 to 775","755 to 751",NA,NA,NA,"p3k14c"
"Beta-284780","Paragonah","42In0043","USA","Utah",940,40,846,1104,"Zea mays","Maize",NA,-10.1,"AMS","910 to 897","889 to 843","836 to 794",NA,NA,NA,NA,"925 to 771","760 to 742",NA,NA,NA,NA,"p3k14c"
"Beta-284781","Paragonah","42In0043","USA","Utah",940,40,846,1104,"Zea mays","Maize",NA,-9.4,"AMS","910 to 897","889 to 843","836 to 794",NA,NA,NA,NA,"925 to 771","760 to 742",NA,NA,NA,NA,"p3k14c"
"Beta-287720","Wolf Village","42Ut0273","USA","Utah",970,40,856,1094,"Zea mays","Maize",NA,-11.2,"AMS","922 to 901","868 to 816","813 to 798",NA,NA,NA,NA,"955 to 944","936 to 786",NA,NA,NA,NA,"p3k14c"
"Beta-287721","Wolf Village","42Ut0273","USA","Utah",990,40,868,1082,"Zea mays","Maize",NA,-10.1,"AMS","954 to 947","930 to 902","867 to 853","850 to 822","811 to 800",NA,NA,"956 to 896","893 to 793",NA,NA,NA,NA,"p3k14c"
"Beta-287722","Wolf Village","42Ut0273","USA","Utah",950,40,849,1101,"Zea mays","Maize",NA,-10.8,"AMS","916 to 898","873 to 795",NA,NA,NA,NA,NA,"952 to 951","928 to 772","758 to 748",NA,NA,NA,"p3k14c"
"Beta-287723","Wolf Village","42Ut0273","USA","Utah",980,40,861,1089,"Zea mays","Maize",NA,-10.7,"AMS","927 to 902","868 to 817","812 to 799",NA,NA,NA,NA,"955 to 943","939 to 791",NA,NA,NA,NA,"p3k14c"
"Beta-287724","Wolf Village","42Ut0273","USA","Utah",960,40,852,1098,"Zea mays","Maize",NA,-10.9,"AMS","918 to 900","870 to 797",NA,NA,NA,NA,NA,"954 to 947","930 to 775","755 to 751",NA,NA,NA,"p3k14c"
"Beta-287725","Wolf Village","42Ut0273","USA","Utah",980,40,861,1089,"Zea mays","Maize",NA,-10.5,"AMS","927 to 902","868 to 817","812 to 799",NA,NA,NA,NA,"955 to 943","939 to 791",NA,NA,NA,NA,"p3k14c"
"Beta-287726","Wolf Village","42Ut0273","USA","Utah",970,40,856,1094,"Zea mays","Maize",NA,-10.3,"AMS","922 to 901","868 to 816","813 to 798",NA,NA,NA,NA,"955 to 944","936 to 786",NA,NA,NA,NA,"p3k14c"
"Beta-287727","Wolf Village","42Ut0273","USA","Utah",1010,40,918,1032,"Zea mays","Maize",NA,-11,"AMS","957 to 905","865 to 857","846 to 828","808 to 805",NA,NA,NA,"1046 to 1039","973 to 897","891 to 793",NA,NA,NA,"p3k14c"
"Beta-287728","Wolf Village","42Ut0273","USA","Utah",930,40,842,1108,"Zea mays","Maize",NA,-10.5,"AMS","908 to 863","859 to 844","834 to 790",NA,NA,NA,NA,"920 to 770","763 to 740",NA,NA,NA,NA,"p3k14c"
"Beta-287729","Wolf Village","42Ut0273","USA","Utah",910,40,823,1127,"Zea mays","Maize",NA,-10.2,"AMS","903 to 867","855 to 847","826 to 809","804 to 771","759 to 743",NA,NA,"912 to 734",NA,NA,NA,NA,NA,"p3k14c"
"Beta-287730","Wolf Village","42Ut0273","USA","Utah",920,40,834,1116,"Zea mays","Maize",NA,-10.9,"AMS","908 to 863","859 to 844","834 to 784",NA,NA,NA,NA,"916 to 768","765 to 737",NA,NA,NA,NA,"p3k14c"
"Beta-289228",NA,"42Cb0956","USA","Utah",920,40,834,1116,"Zea mays","Zea Mays",NA,-9.4,NA,"908 to 863","859 to 844","834 to 784",NA,NA,NA,NA,"916 to 768","765 to 737",NA,NA,NA,NA,"p3k14c"
"Beta-292145","Las Capas","AA:12:111","USA","Arizona",2820,30,2921,-972,"Zea mays","maize",NA,-11.2,"AMS","2956 to 2878",NA,NA,NA,NA,NA,NA,"3054 to 3047","3028 to 3019","3003 to 2848",NA,NA,NA,"p3k14c"
"Beta-292146","Las Capas","AA:12:111","USA","Arizona",2890,30,3023,-1074,"Zea mays","maize",NA,-10.4,"AMS","3066 to 2990","2986 to 2965",NA,NA,NA,NA,NA,"3151 to 3091","3081 to 2932","2894 to 2889",NA,NA,NA,"p3k14c"
"Beta-292147","Las Capas","AA:12:111","USA","Arizona",2870,30,2992,-1043,"Zea mays","maize",NA,-10.4,"AMS","3059 to 3012","3010 to 2954",NA,NA,NA,NA,NA,"3136 to 3129","3103 to 3097","3074 to 2879",NA,NA,NA,"p3k14c"
"Beta-292149","Las Capas","AZ AA:12:111","USA","Arizona",3050,40,3260,-1311,"Zea mays","Maize",NA,NA,"AMS","3338 to 3285","3271 to 3209","3189 to 3185",NA,NA,NA,NA,"3367 to 3153","3151 to 3151","3087 to 3087",NA,NA,NA,"p3k14c"
"Beta-292150","Las Capas","AZ AA:12:111","USA","Arizona",3130,40,3351,-1402,"Zea mays","Maize",NA,-15.5,"AMS","3395 to 3331","3290 to 3259",NA,NA,NA,NA,NA,"3446 to 3419","3414 to 3240",NA,NA,NA,NA,"p3k14c"
"Beta-292151","Las Capas","AA:12:111","USA","Arizona",2890,30,3023,-1074,"Zea mays","maize",NA,-10.2,"AMS","3066 to 2990","2986 to 2965",NA,NA,NA,NA,NA,"3151 to 3091","3081 to 2932","2894 to 2889",NA,NA,NA,"p3k14c"
"Beta-292153","Las Capas","AA:12:111","USA","Arizona",2530,30,2612,-663,"Zea mays","maize",NA,-10.8,"AMS","2727 to 2699","2633 to 2616","2585 to 2537","2529 to 2519",NA,NA,NA,"2741 to 2681","2653 to 2653","2646 to 2612","2599 to 2494",NA,NA,"p3k14c"
"Beta-292154","Las Capas","AA:12:111 (ASM)","USA","Arizona",3440,40,3696,-1747,"Zea mays","unknown",NA,-8.7,"AMS","3821 to 3795","3765 to 3752","3723 to 3637","3598 to 3596",NA,NA,NA,"3828 to 3789","3775 to 3576",NA,NA,NA,NA,"p3k14c"
"Beta-292892","Aspen Shelter","42Sv1365","USA","Utah",950,30,850,1100,"Zea mays","Zea Mays",NA,NA,NA,"912 to 901","869 to 797",NA,NA,NA,NA,NA,"922 to 788",NA,NA,NA,NA,NA,"p3k14c"
"Beta-304531","Las Capas","AA:12:111","USA","Arizona",2900,40,3037,-1088,"Zea mays","maize",NA,-10.5,"AMS","3136 to 3130","3105 to 3096","3075 to 2963",NA,NA,NA,NA,"3166 to 2928","2898 to 2886",NA,NA,NA,NA,"p3k14c"
"Beta-304532","Las Capas","AA:12:111","USA","Arizona",2860,40,2980,-1031,"Zea mays","maize",NA,-11.1,"AMS","3058 to 3040","3035 to 3013","3007 to 2928","2898 to 2885",NA,NA,NA,"3141 to 3125","3107 to 3095","3076 to 2861",NA,NA,NA,"p3k14c"
"Beta-304533","Las Capas","AA:12:111","USA","Arizona",2860,40,2980,-1031,"Zea mays","maize",NA,-10.7,"AMS","3058 to 3040","3035 to 3013","3007 to 2928","2898 to 2885",NA,NA,NA,"3141 to 3125","3107 to 3095","3076 to 2861",NA,NA,NA,"p3k14c"
"Beta-304534","Las Capas","AA:12:111","USA","Arizona",2900,40,3037,-1088,"Zea mays","maize",NA,-11.1,"AMS","3136 to 3130","3105 to 3096","3075 to 2963",NA,NA,NA,NA,"3166 to 2928","2898 to 2886",NA,NA,NA,NA,"p3k14c"
"Beta-304535","Las Capas","AA:12:111","USA","Arizona",2880,40,3010,-1061,"Zea mays","maize",NA,-10.6,"AMS","3073 to 2948","2941 to 2939",NA,NA,NA,NA,NA,"3149 to 3116","3114 to 3091","3080 to 2879",NA,NA,NA,"p3k14c"
"Beta-304536","Las Capas","AA:12:111","USA","Arizona",2870,40,2994,-1045,"Zea mays","maize",NA,-11.1,"AMS","3065 to 2936",NA,NA,NA,NA,NA,NA,"3147 to 3122","3111 to 3092","3079 to 2872",NA,NA,NA,"p3k14c"
"Beta-304538","Las Capas","AA:12:111","USA","Arizona",2940,30,3098,-1149,"Zea mays","maize",NA,-9.9,"AMS","3163 to 3060","3039 to 3036","3011 to 3008",NA,NA,NA,NA,"3206 to 3195","3177 to 2995","2978 to 2968",NA,NA,NA,"p3k14c"
"Beta-304539","Las Capas","AA:12:111","USA","Arizona",2880,40,3010,-1061,"Zea mays","maize",NA,-10.1,"AMS","3073 to 2948","2941 to 2939",NA,NA,NA,NA,NA,"3149 to 3116","3114 to 3091","3080 to 2879",NA,NA,NA,"p3k14c"
"Beta-304540","Las Capas","AA:12:111","USA","Arizona",2820,40,2923,-974,"Zea mays","maize",NA,-8.6,"AMS","2989 to 2987","2963 to 2863",NA,NA,NA,NA,NA,"3059 to 2846","2819 to 2795",NA,NA,NA,NA,"p3k14c"
"Beta-304541","Las Capas","AA:12:111","USA","Arizona",2920,30,3065,-1116,"Zea mays","maize",NA,-11.2,"AMS","3143 to 3124","3109 to 3093","3078 to 3001",NA,NA,NA,NA,"3163 to 2990","2986 to 2965",NA,NA,NA,NA,"p3k14c"
"Beta-304542","Las Capas","AA:12:111","USA","Arizona",2930,30,3082,-1133,"Zea mays","maize",NA,-10.9,"AMS","3149 to 3090","3082 to 3056","3046 to 3029","3018 to 3005",NA,NA,NA,"3169 to 2991","2985 to 2965",NA,NA,NA,NA,"p3k14c"
"Beta-304544","Las Capas","AA:12:111","USA","Arizona",2840,30,2945,-996,"Zea mays","maize",NA,-10.5,"AMS","2995 to 2979","2968 to 2917","2907 to 2880",NA,NA,NA,NA,"3058 to 3013","3008 to 2865",NA,NA,NA,NA,"p3k14c"
"Beta-304545","Las Capas","AA:12:111","USA","Arizona",2950,30,3110,-1161,"Zea mays","maize",NA,-10.3,"AMS","3167 to 3066",NA,NA,NA,NA,NA,NA,"3209 to 3000",NA,NA,NA,NA,NA,"p3k14c"
"Beta-304547","Las Capas","AA:12:111","USA","Arizona",2880,30,3008,-1059,"Zea mays","maize",NA,-11,"AMS","3060 to 3011","3008 to 2961",NA,NA,NA,NA,NA,"3145 to 3123","3110 to 3094","3078 to 2922","2904 to 2882",NA,NA,"p3k14c"
"Beta-306684","Las Capas","AA:12:111","USA","Arizona",2450,30,2517,-568,"Zea mays","maize",NA,-10.6,"AMS","2695 to 2639","2613 to 2594","2512 to 2507","2499 to 2412","2385 to 2370",NA,NA,"2702 to 2631","2617 to 2579","2574 to 2559","2542 to 2361",NA,NA,"p3k14c"
"Beta-306685","Las Capas","AA:12:111 (ASM)","USA","Arizona",2910,30,3049,-1100,"Zea mays","unknown",NA,-12.6,"AMS","3138 to 3128","3106 to 3095","3076 to 2996","2977 to 2970",NA,NA,NA,"3158 to 2961",NA,NA,NA,NA,NA,"p3k14c"
"Beta-306686","Las Capas","AA:12:111","USA","Arizona",2790,30,2891,-942,"Zea mays","maize",NA,-10.6,"AMS","2936 to 2852",NA,NA,NA,NA,NA,NA,"2961 to 2841","2829 to 2785",NA,NA,NA,NA,"p3k14c"
"Beta-306687","Las Capas","AA:12:111","USA","Arizona",2730,30,2817,-868,"Zea mays","maize",NA,-10.6,"AMS","2849 to 2837","2834 to 2781",NA,NA,NA,NA,NA,"2877 to 2759",NA,NA,NA,NA,NA,"p3k14c"
"Beta-306688","Las Capas","AA:12:111 (ASM)","USA","Arizona",2870,30,2992,-1043,"Zea mays","unknown",NA,-10.5,"AMS","3059 to 3012","3010 to 2954",NA,NA,NA,NA,NA,"3136 to 3129","3103 to 3097","3074 to 2879",NA,NA,NA,"p3k14c"
"Beta-306689","Las Capas","AA:12:111 (ASM)","USA","Arizona",2850,30,2960,-1011,"Zea mays","unknown",NA,-10.4,"AMS","3000 to 2921","2904 to 2882",NA,NA,NA,NA,NA,"3063 to 2873",NA,NA,NA,NA,NA,"p3k14c"
"Beta-306691","Las Capas","AA:12:111","USA","Arizona",2740,30,2822,-873,"Zea mays","maize",NA,-10.3,"AMS","2855 to 2837","2834 to 2782",NA,NA,NA,NA,NA,"2921 to 2905","2881 to 2762",NA,NA,NA,NA,"p3k14c"
"Beta-306692","Las Capas","AA:12:111","USA","Arizona",2770,30,2861,-912,"Zea mays","maize",NA,-9.6,"AMS","2922 to 2904","2882 to 2845","2823 to 2788",NA,NA,NA,NA,"2947 to 2782",NA,NA,NA,NA,NA,"p3k14c"
"Beta-306693","Las Capas","AA:12:111","USA","Arizona",2730,30,2817,-868,"Zea mays","maize",NA,-10.9,"AMS","2849 to 2837","2834 to 2781",NA,NA,NA,NA,NA,"2877 to 2759",NA,NA,NA,NA,NA,"p3k14c"
"Beta-306694","Las Capas","AA:12:111","USA","Arizona",2770,30,2861,-912,"Zea mays","maize",NA,-10.5,"AMS","2922 to 2904","2882 to 2845","2823 to 2788",NA,NA,NA,NA,"2947 to 2782",NA,NA,NA,NA,NA,"p3k14c"
"Beta-306695","Las Capas","AA:12:111","USA","Arizona",2880,30,3008,-1059,"Zea mays","maize",NA,-11,"AMS","3060 to 3011","3008 to 2961",NA,NA,NA,NA,NA,"3145 to 3123","3110 to 3094","3078 to 2922","2904 to 2882",NA,NA,"p3k14c"
"Beta-311747",NA,"42Ws3887","USA","Utah",1280,30,1224,726,"Zea mays","Zea Mays",NA,-10.9,"AMS","1272 to 1243","1227 to 1199","1192 to 1177",NA,NA,NA,NA,"1287 to 1176","1159 to 1145","1140 to 1130",NA,NA,NA,"p3k14c"
"Beta-311748",NA,"42Ws3887","USA","Utah",1230,30,1149,801,"Zea mays","Zea Mays",NA,-10.8,"AMS","1244 to 1224","1220 to 1214","1176 to 1175","1163 to 1119","1097 to 1076",NA,NA,"1267 to 1207","1189 to 1185","1177 to 1174","1170 to 1066",NA,NA,"p3k14c"
"Beta-311749",NA,"42Ws3887","USA","Utah",1200,30,1118,832,"Zea mays","Zea Mays",NA,-11,"AMS","1175 to 1175","1168 to 1160","1150 to 1139","1131 to 1070",NA,NA,NA,"1244 to 1224","1220 to 1214","1176 to 1057","1022 to 1005",NA,NA,"p3k14c"
"Beta-311751",NA,"42Ws3887","USA","Utah",1270,30,1221,729,"Zea mays","Zea Mays",NA,-10.2,"AMS","1270 to 1204","1191 to 1183","1178 to 1177",NA,NA,NA,NA,"1286 to 1176","1162 to 1123","1089 to 1088",NA,NA,NA,"p3k14c"
"Beta-311752",NA,"42Ws3887","USA","Utah",1290,30,1225,725,"Zea mays","Zea Mays",NA,-10.7,"AMS","1278 to 1245","1212 to 1177",NA,NA,NA,NA,NA,"1290 to 1176","1158 to 1154",NA,NA,NA,NA,"p3k14c"
"Beta-311753",NA,"42Ws3887","USA","Utah",1260,30,1217,733,"Zea mays","Zea Mays",NA,-9.8,"AMS","1270 to 1205","1191 to 1183","1178 to 1176","1158 to 1153","1136 to 1134",NA,NA,"1281 to 1175","1163 to 1120","1096 to 1077",NA,NA,NA,"p3k14c"
"Beta-311754",NA,"42Ws3887","USA","Utah",1290,30,1225,725,"Zea mays","Zea Mays",NA,-11.1,"AMS","1278 to 1245","1212 to 1177",NA,NA,NA,NA,NA,"1290 to 1176","1158 to 1154",NA,NA,NA,NA,"p3k14c"
"Beta-311755",NA,"42Ws3887","USA","Utah",1270,30,1221,729,"Zea mays","Zea Mays",NA,-9.9,"AMS","1270 to 1204","1191 to 1183","1178 to 1177",NA,NA,NA,NA,"1286 to 1176","1162 to 1123","1089 to 1088",NA,NA,NA,"p3k14c"
"Beta-311756",NA,"42Ws3887","USA","Utah",1300,30,1228,722,"Zea mays","Zea Mays",NA,-10.4,"AMS","1281 to 1259","1256 to 1247","1209 to 1178",NA,NA,NA,NA,"1289 to 1241","1239 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311757",NA,"42Ws3887","USA","Utah",1290,30,1225,725,"Zea mays","Zea Mays",NA,-10.9,"AMS","1278 to 1245","1212 to 1177",NA,NA,NA,NA,NA,"1290 to 1176","1158 to 1154",NA,NA,NA,NA,"p3k14c"
"Beta-311758",NA,"42Ws3887","USA","Utah",1300,30,1228,722,"Zea mays","Zea Mays",NA,-10,"AMS","1281 to 1259","1256 to 1247","1209 to 1178",NA,NA,NA,NA,"1289 to 1241","1239 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311759",NA,"42Ws5164","USA","Utah",1370,30,1294,656,"Zea mays","Zea Mays",NA,-12.9,"AMS","1306 to 1279",NA,NA,NA,NA,NA,NA,"1345 to 1322","1316 to 1266","1206 to 1191","1184 to 1179",NA,NA,"p3k14c"
"Beta-311760",NA,"42Ws5164","USA","Utah",1230,30,1149,801,"Zea mays","Zea Mays",NA,-11.1,"AMS","1244 to 1224","1220 to 1214","1176 to 1175","1163 to 1119","1097 to 1076",NA,NA,"1267 to 1207","1189 to 1185","1177 to 1174","1170 to 1066",NA,NA,"p3k14c"
"Beta-311761",NA,"42Ws5164","USA","Utah",1260,30,1217,733,"Zea mays","Zea Mays",NA,-10.2,"AMS","1270 to 1205","1191 to 1183","1178 to 1176","1158 to 1153","1136 to 1134",NA,NA,"1281 to 1175","1163 to 1120","1096 to 1077",NA,NA,NA,"p3k14c"
"Beta-311762",NA,"42Ws5164","USA","Utah",1240,30,1163,787,"Zea mays","Zea Mays",NA,-11.1,"AMS","1260 to 1255","1247 to 1210","1177 to 1175","1162 to 1123","1091 to 1080",NA,NA,"1272 to 1203","1191 to 1183","1178 to 1175","1168 to 1070",NA,NA,"p3k14c"
"Beta-311763",NA,"42Ws5167","USA","Utah",1340,30,1273,677,"Zea mays","Zea Mays",NA,-10.7,"AMS","1297 to 1271","1204 to 1192","1182 to 1179",NA,NA,NA,NA,"1304 to 1245","1211 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311764",NA,"42Ws5167","USA","Utah",1320,30,1248,702,"Zea mays","Zea Mays",NA,-11.3,"AMS","1290 to 1264","1250 to 1250","1207 to 1189","1185 to 1178",NA,NA,NA,"1297 to 1244","1226 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311765",NA,"42Ws5167","USA","Utah",1810,30,1708,242,"Zea mays","Zea Mays",NA,-12.1,"AMS","1737 to 1698","1659 to 1633",NA,NA,NA,NA,NA,"1819 to 1808","1793 to 1758","1751 to 1691","1671 to 1614",NA,NA,"p3k14c"
"Beta-311766",NA,"42Ws5167","USA","Utah",1410,30,1318,632,"Zea mays","Zea Mays",NA,-10.9,"AMS","1343 to 1326","1313 to 1296",NA,NA,NA,NA,NA,"1352 to 1287",NA,NA,NA,NA,NA,"p3k14c"
"Beta-311767",NA,"42Ws5167","USA","Utah",1320,30,1248,702,"Zea mays","Zea Mays",NA,-10.2,"AMS","1290 to 1264","1250 to 1250","1207 to 1189","1185 to 1178",NA,NA,NA,"1297 to 1244","1226 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311768",NA,"42Ws5167","USA","Utah",1320,30,1248,702,"Zea mays","Zea Mays",NA,-10.6,"AMS","1290 to 1264","1250 to 1250","1207 to 1189","1185 to 1178",NA,NA,NA,"1297 to 1244","1226 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311769",NA,"42Ws5167","USA","Utah",1390,30,1304,646,"Zea mays","Zea Mays",NA,-11.5,"AMS","1340 to 1332","1310 to 1288",NA,NA,NA,NA,NA,"1348 to 1279",NA,NA,NA,NA,NA,"p3k14c"
"Beta-311770",NA,"42Ws5167","USA","Utah",1300,30,1228,722,"Zea mays","Zea Mays",NA,-11.1,"AMS","1281 to 1259","1256 to 1247","1209 to 1178",NA,NA,NA,NA,"1289 to 1241","1239 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311771",NA,"42Ws5167","USA","Utah",1360,30,1289,661,"Zea mays","Zea Mays",NA,-10.6,"AMS","1304 to 1276","1196 to 1194",NA,NA,NA,NA,NA,"1342 to 1330","1311 to 1261","1253 to 1248","1208 to 1178",NA,NA,"p3k14c"
"Beta-311772",NA,"42Ws5167","USA","Utah",1340,30,1273,677,"Zea mays","Zea Mays",NA,-10.7,"AMS","1297 to 1271","1204 to 1192","1182 to 1179",NA,NA,NA,NA,"1304 to 1245","1211 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311773",NA,"42Ws5167","USA","Utah",1330,30,1260,690,"Zea mays","Zea Mays",NA,-11.3,"AMS","1294 to 1267","1206 to 1191","1184 to 1179",NA,NA,NA,NA,"1300 to 1244","1224 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-311775",NA,"42Ws5167","USA","Utah",1820,30,1720,230,"Zea mays","Zea Mays",NA,-10.9,"AMS","1744 to 1698","1659 to 1633",NA,NA,NA,NA,NA,"1821 to 1804","1797 to 1694","1666 to 1624",NA,NA,NA,"p3k14c"
"Beta-311777",NA,"42Ws5167","USA","Utah",1320,30,1248,702,"Zea mays","Zea Mays",NA,-11.4,"AMS","1290 to 1264","1250 to 1250","1207 to 1189","1185 to 1178",NA,NA,NA,"1297 to 1244","1226 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-312653","Wolf Village","42Ut0273","USA","Utah",900,30,800,1150,"Zea mays","Maize",NA,-11.8,"AMS","900 to 870","796 to 768","765 to 737",NA,NA,NA,NA,"908 to 863","859 to 844","834 to 732",NA,NA,NA,"p3k14c"
"Beta-312654","Wolf Village","42Ut0273","USA","Utah",960,30,851,1099,"Zea mays","Maize",NA,-10.9,"AMS","916 to 902","868 to 818","812 to 799",NA,NA,NA,NA,"924 to 792",NA,NA,NA,NA,NA,"p3k14c"
"Beta-312655","Wolf Village","42Ut0273","USA","Utah",1000,30,913,1037,"Zea mays","Maize",NA,-9.8,"AMS","955 to 944","937 to 905","865 to 857","845 to 829",NA,NA,NA,"956 to 900","869 to 797",NA,NA,NA,NA,"p3k14c"
"Beta-312656","Wolf Village","42Ut0273","USA","Utah",990,30,868,1082,"Zea mays","Maize",NA,-11.3,"AMS","953 to 949","929 to 903","866 to 855","847 to 826","809 to 802",NA,NA,"956 to 898","872 to 795",NA,NA,NA,NA,"p3k14c"
"Beta-312657","Wolf Village","42Ut0273","USA","Utah",1340,30,1273,677,"Zea mays","Maize",NA,-11.4,"AMS","1297 to 1271","1204 to 1192","1182 to 1179",NA,NA,NA,NA,"1304 to 1245","1211 to 1177",NA,NA,NA,NA,"p3k14c"
"Beta-319043","Get Outta There Site","LA 159879","USA","New Mexico",2460,30,2559,-610,"Zea mays","Maize",NA,-11.4,"AMS","2698 to 2634","2615 to 2585","2567 to 2564","2538 to 2527","2521 to 2462","2452 to 2433",NA,"2705 to 2629","2619 to 2553","2546 to 2402","2394 to 2365",NA,NA,"p3k14c"
"Beta-32290","Lisbon Valley Site","42Sa09999","USA","Utah",2110,70,2083,-134,"Zea mays","Zea Mays",NA,NA,"AMS","2293 to 2268","2151 to 1991","1957 to 1951",NA,NA,NA,NA,"2310 to 2189","2185 to 1923","1904 to 1893",NA,NA,NA,"p3k14c"
"Beta-325654","Las Capas","AA:12:111","USA","Arizona",2790,30,2891,-942,"Zea mays","maize",NA,-10.4,"AMS","2936 to 2852",NA,NA,NA,NA,NA,NA,"2961 to 2841","2829 to 2785",NA,NA,NA,NA,"p3k14c"
"Beta-325655","Las Capas","AA:12:111","USA","Arizona",2920,30,3065,-1116,"Zea mays","maize",NA,-11.2,"AMS","3143 to 3124","3109 to 3093","3078 to 3001",NA,NA,NA,NA,"3163 to 2990","2986 to 2965",NA,NA,NA,NA,"p3k14c"
"Beta-325656","Las Capas","AA:12:111","USA","Arizona",2720,30,2813,-864,"Zea mays","maize",NA,-9.8,"AMS","2847 to 2813","2808 to 2808","2806 to 2777",NA,NA,NA,NA,"2868 to 2759",NA,NA,NA,NA,NA,"p3k14c"
"Beta-325657","Las Capas","AA:12:111","USA","Arizona",2890,30,3023,-1074,"Zea mays","maize",NA,-11.4,"AMS","3066 to 2990","2986 to 2965",NA,NA,NA,NA,NA,"3151 to 3091","3081 to 2932","2894 to 2889",NA,NA,NA,"p3k14c"
"Beta-325658","Las Capas","AA:12:111","USA","Arizona",2780,30,2875,-926,"Zea mays","maize",NA,-10.7,"AMS","2931 to 2895","2890 to 2848","2814 to 2798",NA,NA,NA,NA,"2956 to 2840","2831 to 2784",NA,NA,NA,NA,"p3k14c"
"Beta-325659","Las Capas","AA:12:111","USA","Arizona",2900,30,3035,-1086,"Zea mays","maize",NA,-10.2,"AMS","3073 to 2991","2985 to 2965",NA,NA,NA,NA,NA,"3158 to 3087","3084 to 2954",NA,NA,NA,NA,"p3k14c"
